date,servo_stress_index
2016-02-11,0.055741900708580774
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-05,
2018-05-06,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-12,
2018-05-13,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-19,
2018-05-20,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-24,
2021-02-09,0.13883862773897152
2021-02-10,0.1445093172477287
2021-02-11,0.14407503412631972
2021-02-12,0.14669783915514778
2021-02-13,0.143355142934826
2021-02-14,0.14402180157072156
2021-02-15,0.14325882574208493
2021-02-16,0.1794586822317879
2021-02-17,0.09596912217029513
2021-02-18,0.16117618371715645
2021-02-19,0.13990050023639883
2021-02-20,0.09512868270013791
2021-02-21,0.13769065817328052
2021-02-22,0.14507402068248887
2021-02-23,0.14559819787260397
2021-02-24,0.15018035429657006
2021-02-25,0.15222238197536853
2021-02-26,0.15631971929979538
2021-02-27,0.15814715989324035
2021-02-28,0.1537943886867923
2021-03-01,0.15785926071680959
2021-03-02,0.16031273259682655
2021-03-03,0.1734467130637432
2021-03-04,0.14162162544536583
2021-03-04,0.24871333019934036
2021-03-05,0.18483338008220448
2021-03-06,0.1448072524870394
2021-03-07,0.1415255569542303
2021-03-08,0.14245802487641326
2021-03-09,0.14210248005502912
2021-03-10,0.1404218560654398
2021-03-11,0.14139871200552112
2021-03-12,0.14814904010149738
2021-03-13,0.1494634752476358
2021-03-14,0.16432315962546498
2021-03-15,0.16742653349677494
2021-03-16,0.15171169722085742
2021-03-17,0.16121340684534063
2021-03-18,0.1642241933535578
2021-03-19,0.17979392565732327
2021-03-20,0.24298588918857647
2021-03-21,0.24748061912961136
2021-03-22,0.16362533752782418
2021-03-23,0.18536274792654303
2021-03-24,0.14103491477235897
2021-03-25,0.1445632384899923
2021-03-26,0.14833486283335556
2021-03-27,0.14100737712346292
2021-03-27,0.14085727640945422
2021-03-28,0.14216037779203708
2021-03-29,0.14866875763200996
2021-03-30,0.14655431071992708
2021-03-31,0.16198248782533886
2021-04-01,0.15431634888710405
2021-04-02,0.15464328240321715
2021-04-03,0.16017566473220018
2021-04-04,0.18071013620433213
2021-04-05,0.1807898803764994
2021-04-06,0.0988883733505665
2021-04-07,0.14384771641304336
2021-04-08,0.1601797304942652
2021-04-09,0.14322877056444985
2021-04-10,0.1427552750135742
2021-04-11,0.14194132764678039
2021-04-12,0.14207387237740499
2021-04-13,0.14406481545817773
2021-04-14,0.1412584250058736
2021-04-15,0.14497183028515193
2021-04-16,0.14551597418487502
2021-04-17,0.14231011099300148
2021-04-18,0.14457782571220973
2021-04-19,0.13871418719795578
2021-04-19,0.1437311840797894
2021-04-20,0.14342213692388855
2021-04-21,0.14463421220697875
2021-04-22,0.14546698911485928
2021-04-23,0.14463056959559203
2021-04-24,0.192968521476851
2021-04-25,0.1454562323960275
2021-04-26,0.1031622193310831
2021-04-27,0.1390905555965918
2021-04-28,0.1465180072653654
2021-04-29,0.14590910053617612
2021-04-30,0.1466586419630716
2021-05-01,0.1475498508538202
2021-05-02,0.14872858468767922
2021-05-03,0.151085445357891
2021-05-04,0.1696531410711631
2021-05-05,0.1610402483761358
2021-05-06,0.1816980482058519
2021-05-07,0.24599855998047868
2021-05-08,0.1818861418942425
2021-05-09,0.18979863218047743
2021-05-10,0.24666626163439342
2021-05-11,0.14457737380219146
2021-05-12,0.13699951250578435
2021-05-12,0.14175588241258713
2021-05-13,0.14271993783366899
2021-05-14,0.1404984137060663
2021-05-15,0.14409591458569398
2021-05-16,0.14428995265646982
2021-05-17,0.14283810224019178
2021-05-18,0.1414662891448542
2021-05-19,0.14707112694237484
2021-05-20,0.14503628972970503
2021-05-21,0.14542111373816713
2021-05-22,0.09946674013499382
2021-05-23,0.17615552188609224
2021-05-24,0.14631820279270735
2021-05-25,0.16206027701718023
2021-05-26,0.145199092026722
2021-05-27,0.16091366651617559
2021-05-28,0.16492450744491405
2021-05-29,0.14865624011485826
2021-05-30,0.23935650077393913
2021-05-31,0.14702962434014732
2021-06-01,0.1614344070293846
2021-06-02,0.14408010050311834
2021-06-03,0.1592104076609558
2021-06-04,0.14735460231470585
2021-06-04,0.13868078200997322
2021-06-05,0.15383928960477017
2021-06-06,0.21723945749297902
2021-06-07,0.1481881744926626
2021-06-08,0.16799002674499314
2021-06-09,0.14947082098800973
2021-06-10,0.1550179327480598
2021-06-11,0.14460062439311944
2021-06-12,0.14965941233673452
2021-06-13,0.169585547479859
2021-06-14,0.14787396396685154
2021-06-15,0.23327602555461366
2021-06-16,0.14427441278662478
2021-06-17,0.16090946467861622
2021-06-18,0.144164804734997
2021-06-19,0.15241487281228852
2021-06-20,0.1462168298320676
2021-06-21,0.1489846714727255
2021-06-22,0.24103453135477457
2021-06-23,0.15036490089109672
2021-06-24,0.20287021651510195
2021-06-25,0.14538472076569275
2021-06-26,0.15603856888447232
2021-06-27,0.1422826541383837
2021-06-27,0.13625870029006845
2021-06-28,0.15461500141508014
2021-06-29,0.15598449815290616
2021-06-30,0.1461147521916455
2021-07-01,0.17845767519280398
2021-07-02,0.14511274784161973
2021-07-03,0.15913607725714382
2021-07-04,0.14326578339295373
2021-07-05,0.15180040013608032
2021-07-06,0.14318269404712058
2021-07-07,0.15337083705321095
2021-07-08,0.15364468278210813
2021-07-09,0.1413956388648484
2021-07-10,0.14443941859422682
2021-07-11,0.14484475641363495
2021-07-12,0.14485700143584776
2021-07-13,0.14262957929827202
2021-07-14,0.14454588377339955
2021-07-15,0.14499764954359895
2021-07-16,0.14383933416486425
2021-07-17,0.14545339548361522
2021-07-18,0.14605459968256712
2021-07-19,0.14402848051859224
2021-07-20,0.145524082421456
2021-07-21,0.14228264285621064
2021-07-21,0.14576506005220397
2021-07-22,0.14885084235311377
2021-07-23,0.14607404147232134
2021-07-24,0.1483924796161849
2021-07-25,0.14672180682483185
2021-07-26,0.1458994349674982
2021-07-27,0.14658630112875243
2021-07-28,0.14541503403034844
2021-07-29,0.14592713568518892
2021-07-30,0.14424820827409937
2021-07-31,0.15874332837864735
2021-08-01,0.15520280028625777
2021-08-02,0.2510001261714724
2021-08-03,0.1521998282393911
2021-08-04,0.21093080021692767
2021-08-05,0.1458301835853438
2021-08-06,0.18257377499155575
2021-08-07,0.14812876201680752
2021-08-08,0.15165594175902447
2021-08-09,0.2258888077230579
2021-08-10,0.1589734460328648
2021-08-11,0.19796175847795672
2021-08-12,0.14802393802997077
2021-08-13,0.1450785460846583
2021-08-13,0.16061317829390814
2021-08-14,0.14642561622652417
2021-08-15,0.1571393585949204
2021-08-16,0.1573865850336805
2021-08-17,0.15947591258932436
2021-08-18,0.22465715389600915
2021-08-19,0.15332025782447803
2021-08-20,0.16771158400305708
2021-08-21,0.13944308770271896
2021-08-22,0.15439221197276876
2021-08-23,0.14570606504909422
2021-08-24,0.14961279964722712
2021-08-25,0.2474841876680141
2021-08-26,0.15167482841789542
2021-08-27,0.20333141682768038
2021-08-28,0.14344796933849327
2021-08-29,0.16178427852284238
2021-08-30,0.1438169499678039
2021-08-31,0.15553473272764798
2021-09-01,0.1588991315807641
2021-09-02,0.15394826480080875
