date,servo_stress_index,stress_slope,stress_volatility,stress_trend,instability_score,instability_flag
2016-02-11,0.1855720043862052,,,,0.0927860021931026,False
2018-05-01,,,,,,False
2018-05-02,,,,,,False
2018-05-03,,,,,,False
2018-05-04,,,,,,False
2018-05-05,,,,,,False
2018-05-06,,,,,,False
2018-05-07,,,,,,False
2018-05-08,,,,,,False
2018-05-09,,,,,,False
2018-05-10,,,,,,False
2018-05-11,,,,,,False
2018-05-12,,,,,,False
2018-05-13,,,,,,False
2018-05-14,,,,,,False
2018-05-15,,,,,,False
2018-05-16,,,,,,False
2018-05-17,,,,,,False
2018-05-18,,,,,,False
2018-05-19,,,,,,False
2018-05-20,,,,,,False
2018-05-21,,,,,,False
2018-05-22,,,,,,False
2018-05-23,,,,,,False
2018-05-24,,,,,,False
2021-02-09,0.3377523335362931,,,,0.16887616676814654,False
2021-02-10,0.413409670087128,0.0756573365508349,,,0.22940203600881445,False
2021-02-11,0.307514817271168,-0.10589485281596,,0.35289227363152964,0.121988952790796,False
2021-02-12,0.41255745012991,0.10504263285874205,,0.37782731249606866,0.2377915149225776,False
2021-02-13,0.3074462207113116,-0.1051112294185984,0.05370178517314828,0.3425061627041299,0.13293009856470595,False
2021-02-14,0.4117521883814236,0.10430596767011197,0.057564567586462494,0.37725195307421505,0.24868079800903786,False
2021-02-15,0.3538054998910748,-0.057946688490348786,0.052406947666641085,0.35766796966126996,0.17000013293176097,False
2021-02-16,0.4138555511249957,0.06005005123392093,0.04786575522814415,0.3931377464658314,0.23451594197830297,False
2021-02-17,0.4065525234586939,-0.007303027666301809,0.04690671232333469,0.39140452482492144,0.21046669589412334,False
2021-02-18,0.3919722837898403,-0.014580239668853634,0.024869941209783576,0.40412678612451,0.19658605823622077,False
2021-02-19,0.4093344923958674,0.017362208606027107,0.0244978061795833,0.40261976654813386,0.2147754700156585,False
2021-02-20,0.407166245032366,-0.0021682473635014077,0.008231348088485684,0.40282434040602455,0.2045789179248297,False
2021-02-21,0.4083008799052211,0.0011346348728551447,0.007175440715124845,0.4082672057778181,0.2059259185574921,False
2021-02-22,0.4100902734785969,0.0017893935733757638,0.007571550276675254,0.4085191328053947,0.20709626486664623,False
2021-02-23,0.4095883561963602,-0.0005019172822366968,0.0011666342602361325,0.40932650319339275,0.2048769297655563,False
2021-02-24,0.4100211712939405,0.000432815097580308,0.001267231571192078,0.4098999336562992,0.20539387649048274,False
2021-02-25,0.4106571541003475,0.0006359828064069761,0.0008855263071537694,0.4100888938635494,0.20569647715352657,False
2021-02-26,0.411895802244996,0.0012386481446485242,0.0008928861498080441,0.41085804254642794,0.20649807279585417,False
2021-02-27,0.4119508104317738,5.5008186777782964e-05,0.0010744347238378724,0.41150125559237244,0.20620679461668778,False
2021-02-28,0.4116457511192354,-0.0003050593125383805,0.0008551378482412062,0.41183078793200173,0.20590238533550442,False
2021-03-01,0.4121355414499796,0.0004897903307441998,0.0005856985916542283,0.41191070100032956,0.2063318475425439,False
2021-03-02,0.4120501371501449,-8.540429983472375e-05,0.00018636183491833584,0.41194380990645324,0.20603671965210568,False
2021-03-03,0.4124254846715238,0.00037534752137891036,0.0002833744814546265,0.4122037210905494,0.20638202148846652,False
2021-03-04,0.3614183672024557,-0.05100711746906811,0.022651233601160663,0.39529799634137475,0.16993729508073954,False
2021-03-05,0.4137804961268753,0.052362128924419604,0.022898793407666512,0.3958747826669516,0.22717864542229682,False
2021-03-06,0.4116096604463823,-0.0021708356804929774,0.022843821729269992,0.39560284125857104,0.20972234386489724,False
2021-03-07,0.3072340036689165,-0.1043756567774658,0.04696675651891387,0.37754138674739135,0.13169765610500128,False
2021-03-08,0.4084682646746879,0.10123426100577138,0.04634015842054888,0.37577064292999557,0.24387244232318514,False
2021-03-09,0.4099196334005253,0.0014513687258373986,0.046422955829587435,0.3752073005813766,0.21467981848393133,False
2021-03-10,0.4081767359747236,-0.0017428974258016927,0.04577453755565824,0.4088548780166456,0.21272040627075295,False
2021-03-11,0.3059881268388218,-0.10218860913590178,0.05600686532246343,0.37469483207135684,0.13353885374313307,False
2021-03-12,0.4093605781268065,0.10337245128798467,0.046065199244872235,0.37450848031345063,0.2449050642987731,False
2021-03-13,0.4100756038100107,0.0007150256832041957,0.04624566436156978,0.37514143625854635,0.21450144248228056,False
2021-03-14,0.4112215424672353,0.001145938657224621,0.04639839210724389,0.41021924146801747,0.21523423125223382,False
2021-03-15,0.4125350039796418,0.0013134615124065219,0.04688790557064916,0.41127738341896264,0.21603912155767271,False
2021-03-16,0.4112669734491206,-0.0012680305305212136,0.0012206986808085258,0.4116745066319993,0.20549721730156564,False
2021-03-17,0.4117671011754366,0.0005001277263159687,0.0008976339137739732,0.41185635953473304,0.20621311568836787,False
2021-03-18,0.4121660973053119,0.0003989961298753175,0.0005687038291293927,0.4117333906432897,0.20631648825744442,False
2021-03-19,0.4128155392730337,0.00064944196772182,0.0006143765586418395,0.41224957925126077,0.20672547753856177,False
2021-03-20,0.4165911756858841,0.0037756364128503916,0.0021282901132655607,0.4138576040880766,0.2098539367894503,False
2021-03-21,0.4178305268442408,0.0012393511583567163,0.002777819500793799,0.41574574726771957,0.2098426326697862,False
2021-03-22,0.4115938144149778,-0.006236712429263047,0.0028170968960335224,0.4153385056483676,0.2044893128579167,False
2021-03-23,0.4139519727977549,0.0023581583827771424,0.0025996663312021434,0.41445877135232445,0.20820336717995103,False
2021-03-24,0.3072664185177645,-0.10668555427999044,0.048236559414952744,0.3776040685768323,0.13127485485787568,False
2021-03-25,0.4099376150196729,0.10267119650190842,0.04752497578333838,0.37705200211173073,0.24527516161707666,False
